"","","","","","","","","","","","","","","","","","","","","Discount","","","","Surcharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Location","","","","","","","","","Customer","","","","","","","","","","","","","","","","","","","","","","","","","Job","","","","","","","","","","","","","","","","",""
"#ID","Status","Status Type","Customer","Parent Customer","Invoice Title","Parent Job","Parent Job Title","Related Estimate","Pre-Tax Subtotal [Excluding Discounts & Surcharges]","Pre-Tax Subtotal [Including Discounts & Surcharges]","Invoice Total","Cost Basis","Profit Margin","Profit Margin Percent","Amount Paid","Amount Due","Total Product Price","Total Service Price","Paid in full","Title","Description","Type","Amount","Title","Description","Type","Amount","Invoiced Date","Sent At","Due Date","Accepted Day","Related Estimate Accepted Date","Created Date","Created Date Year","Created Date Month","Invoice Notes","Internal Notes","Reference","Tags","Tax Rate","Tax","Tax Amount Paid","Tax Amount Remaining","Total Product Cost (Excluding Tax)","Total Service Cost (Excluding Tax)","Total Product Cost (Including Tax)","Total Service Cost (Including Tax)","Invoice Creator","Commission Recipient","Direct Invoice Commission Method","Direct Invoice Commission %","Direct Invoice Commission Total","Overall Commission Total","First Payment Date","Last Payment Date","Related Project","Related Project Status","Location Address","City","State","Zip Code","QB Originated","QuickBooks Class","Business Unit","P.O. Number","IME Work Order Number","Customer Specific Markup Rate","Lead Partner","Membership Status","Membership Credits","Membership Type","Membership Discount Tier","Feedback Score","Feedback Message","Customer #","Customer Phone","Customer Email","Customer Phone 2","Customer Email 2","Customer Assigned To","Customer Lead Source","Customer Pipeline Status","Customer Next Steps","Customer Notes","Customer Job Notes","Customer Created Date","Customer Tags","Customer Display Name","Customer Company Name","Customer First name","Customer Last Name","IME Work Order Number (Old)","PO Number","Special Location Access Info","nothing","Business Unit","Cancellation Reason","Name of Requestor","TGL","Job Feedback Score","Job Feedback Message","Lowes - Water Heaters","Status","Notes","Assigned Team Members","Assigned Teams","Field Notes","Tags","Assigned Workflow"
"78100","Invoiced","Invoiced","Cotton Lane Commerce Park - BB#","CBRE - Main","Cotton Lane Commerce Park - BB# - Estimate - List Station Issue","#26267 - List Station Issue","List Station Issue","Cotton Lane Commerce Park - BB# - Estimate - List Station Issue","739","739","739","187.4","551.6","75","0","739","219","520","No","","","","0","","","","0","Jul 20, 2026","","Aug 27, 2026","Tue Jul 28 2026 08:25:48 GMT-0700","Mon Jul 20 2026 10:17:27 GMT-0700","Tue Jul 28 2026 08:25:48 GMT-0700","2026","July 2026","","","","","0","0","0","0","125","62.4","125","62.4","Chris Marrs","Hunter Howell","","30","165.48","NaN","","","-","-","4200 South Cotton Lane, Goodyear, Arizona 85338","Goodyear","Arizona","85338","No","AZ Service","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17364526","(602) 577-8163","zachary.jaburg@cbre.com","","","Kris Driggs","","","","","","Wed Jul 01 2026 08:17:34 GMT-0700","Phoenix,VIP","Cotton Lane Commerce Park - BB#","Cotton Lane Commerce Park - BB#","Zachary","Jaburg","","","","","PHX - Plumbing","","Zachary","","","","","Pending Site Visits","Zachary requested a quote from us. He sent us a quote from plumb smart","Hunter Howell","MFH - Plumbing","Confirmed found section of schedule 80 blown off flange 
We will need to cut section out and replaced it","VIP","Default Workflow"
"78092","Invoiced","Invoiced","Parq on 5th","BH Management Services LLC","Unit 706-3 - Washer and Bathroom Sink Backup","#26675 - Clogged Drain :Plumbing","Clogged Drain :Plumbing","","238","238","238","28.68","209.32","88","0","238","-1","239","No","","","","0","","","","0","Jul 20, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 17:54:23 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","28.68","0","28.68","Jarren Heward","Jarren Heward","","30","71.4","NaN","","","-","-","805 West Brown Street, Tempe, Arizona 85281","Tempe","Arizona","85281","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","12967316","(480) 781-7035","raphael.demeo@livebh.com","","bree.macfarlane@livebh.com","Logen Uknavage","Referral","","","","","Tue Oct 28 2025 12:55:01 GMT-0700","BH Mgmt,MFH,Commercial","Parq on 5th","Parq on 5th","Raphiel","Demeo","","","","","MFH - Plumbing","","Raphael","","","","","Completed","Unit 706-3
Washer/bathroom sink backing up
POC Raphael","Carmen Tripodi","Swiss Army Knife","Upon arrival, tenant mentioned that there was water on the carpet in front of the washer, and that the bathroom sink would also back up, and she saw lint in the sink. Ran a 3/8 cable through the washer drain line. Hit one blockage and after some time, made it through. Hit another possible blockage, and it took less time to go through. Ran the cable multiple feet past. Ran the sink and saw no issues. Ran a small amount of water through the washer drain line and had no issues.","","Default Workflow"
"78090","Invoiced","Invoiced","PHX West, LLC c/o CBRE, Inc.","CBRE - Main","PHX West, LLC c/o CBRE, Inc. - Invoice - Descaling - Jetting","#26086 - Descaling - Jetting","Descaling - Jetting","","24383","24383","24383","4086.56","20296.44","83","0","24383","150","24233","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 17:16:20 GMT-0700","2026","July 2026","","","","","0","0","0","0","75","4011.56","75","4011.56","Dominic Cruz","Dominic Cruz","Multiple commissions applied (view Commission Report to see specific type breakdown)","Multiple commissions applied (view Commission Report to see specific % breakdown)","6291.9","NaN","","","South Mountain","Accepted","1825 East Buckeye Road, Phoenix, Arizona 85034","Phoenix","Arizona","85034","No","AZ Service","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","6724723","(602) 488-9257","amy.sexton@cbre.com","","","Kris Driggs","","","","","","Tue Apr 23 2024 16:10:56 GMT-0700","Commercial,VIP","PHX West, LLC c/o CBRE, Inc.","PHX West, LLC c/o CBRE, Inc.","Amy","Sexton","","","","","PHX - Plumbing","","Amy","","","","","Completed","South Mountain - Descaling and jetting","Casey Villani, Michael Balderrama, Steve Walpole, Roman Twardoz","PHX - Plumbing, Swiss Army Knife","","","Default Workflow"
"78072","Sent","Sent","Chewy Distribution","","Chewy Distribution - Invoice - Plumbing Inspection","#24033 - Plumbing Inspection","Plumbing Inspection","","923","923","923","149.8","773.2","84","0","923","63","860","No","","","","0","","","","0","Jul 23, 2026","","Sep 10, 2026","","","Mon Jul 27 2026 14:16:53 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","124.8","25","124.8","Chris Marrs","Adam George","","0","0","NaN","","","-","-","255 S 143rd Avenue, Goodyear, AZ 85338","Goodyear","AZ","85338","No","AZ Service","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","6724734","(602) 566-3928","cellerman@chewy.com","","","Kris Driggs","Cushman & Wakefield","","","Every estimate $5000 or more may need to be itemized for all material being used.","","Tue Apr 23 2024 16:10:57 GMT-0700","VIP,Commercial,Net 45,Coupa","Chewy Distribution","Chewy Distribution","Chris","Ellerman","","","","","PHX - Plumbing","","Chris","","","","","Completed","This is the weekly maintenance visit. We are to invoice $215 for each visit, unless there is work performed. 
PO CHI167572 is only valid 5/1-7/31","Adam George","PHX - Plumbing","Men's urinal #7- Replaced diaphragm and actuator motor head.
Women's inbound stall 8- replaced diaphragm
Women's inbound stall 7 - Replaced diaphragm, vacuum breaker, and actuator head; sanded and cleaned every seal surface. Unit is still continuously running; will need to replace head body due to the put-in not allowing the diaphragm to seat properly. Will provide estimate for this. PoC said it is fine to repair this next service
Men's inbound far sink- replaced faucet as solenoid seal has failed, allowing faucet to continuously
Men's outbound stall 4. Seeing eye cover and button were broken; replaced with new.

Purchased 5 vacuum breakers with poc concent; cost $21
4 hours in site","VIP","Default Workflow"
"78043","Sent","Sent","Sunrise Circle","Native American Connections","After Hours - Invoice - Active Water Leak :Plumbing","#27341 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","89","89","89","10.68","78.32","88","0","89","0","89","No","","","","0","","","","0","Jul 25, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 11:43:11 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","10.68","0","10.68","Chris Marrs","","","0","0","NaN","","","-","-","2922 North 39th Street, Phoenix, Arizona 85018","Phoenix","Arizona","85018","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17640173","602-390-3742","","","","","","","","","","Mon Jul 27 2026 12:58:00 GMT-0700","","Sunrise Circle","Sunrise Circle","Hector","","","","","","MFH - Plumbing","","Hector","","","","","Completed","Sunrise Circle (NAC)
Unit 104 has a leak above the sink
POC Hector: 602-390-3742","Jordan Wise","MFH - Plumbing","Arrived 9:40pm - Finished 10pm 
Once inside unit tenant led me to leak and it was just the condensate drain from her AC above her sink that drips every now and then I informed her this is normal, but she says she has never seen it drip before I recommended to the maintenance guy that it might be worth getting an HVAC technician out here to make sure her AC unit is running properly. He said he will do that.","","Default Workflow"
"78041","Sent","Sent","505 West","Harbor Group Management Co., LLC","505 West - Invoice - No Cool :HVAC","#27315 - No Cool :HVAC","No Cool :HVAC","","323","323","323","56.2","266.8","83","0","323","63","260","No","","","","0","","","","0","Jul 25, 2026","Mon Jul 27 2026 11:36:39 GMT-0700","Aug 26, 2026","","","Mon Jul 27 2026 11:35:59 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","31.2","25","31.2","Jarren Heward","Jarren Heward","","30","96.9","NaN","","","-","-","505 West Baseline Road, Tempe, Arizona 85283","Tempe","Arizona","85283","No","MFH:MFH - HVAC","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15570187","480-577-2649","jpelayo@harborgroupmanagement.com","","","Logen Uknavage","","","","","Can't be on property after 6p. If we have to be, call Jesus to verify
Goodman condensers only for this property - R32 ONLY","Thu Apr 02 2026 10:44:15 GMT-0700","Harbor","505 West","505 West","Jesus","Maintenance supervisor","","","","","MFH - HVAC","","Anthony","","","","","Completed","Can't be on property after 6p. If we have to be, call Jesus to verify
Goodman condensers only for this property - R32 ONLY
Unit 1167
AC is leaking, possible condensate clog
POC Anthony","Jacob Martinez","MFH - HVAC","Service & Diagnostics Report
​Initial Assessment: System was running with low suction pressure and a lukewarm suction line. Pan overflow was cleared completely with nitrogen.
​Diagnostic Findings: Added R-22, which caused head pressure to spike immediately alongside high superheat—confirming a severe system restriction rather than low charge.
​Current Equipment: Old R-22 system (recommend full replacement).
​Replacement Recommendation & Logistics
​System Specs: 2-Ton first co Split System Full Install (Recommend Goodman R-32).
​Primary Estimate: Full 2-Ton Split System Installation.
​Crane & Rigging Requirements:
​Overhead power lines rule out setting up a crane on the main street. Very large crane with extended reach to clear buildinds and obstacles from parking lot","","Default Workflow"
"78038","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 70 - Angle Stop Repair","#27331 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","450","450","450","111","339","75","0","450","150","300","No","","","","0","","","","0","Jul 25, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 11:22:23 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","75","36","75","36","Jarren Heward","Jarren Heward","","30","135","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85893007","","","MFH - Plumbing","","","","","","","Completed","Unit 70
POC: Anthony 602-880-8228
Unit is vacant - Key will be left in chiller room, lockbox code 8579
If we have any issues finding the key please call Anthony
Angle stop is leaking, POC couldnt remember which sink but said there is a bucket under it","Jordan Wise","MFH - Plumbing","Arrived 7:30pm - Finished 9pm 
Once at unit gained access and assessed leak found no supply line was connected on dishwasher line for hot angle stop and it did not fully shut off causing it to drip. Had to leave for parts at 7:45 PM. Was back in site at 8:40pm. Went on roof shut down water waited for drain down and made repair. After repair was made, turned on water, tested for leaks all was good locked up unit and returned keys to mechanical room.
1- 1/2” dual sharkbite angle stop
1- 1/2” sharkbite coupling 
1- supply line 
1 foot 1/2” copper pipe","","Default Workflow"
"78036","Sent","Sent","Capri on Camelback","Harbor Group Management Co., LLC","Capri on Camelback - Invoice - Fan Coil - Flush Valves","#27349 - Fan Coil - Flush Valves","Fan Coil - Flush Valves","","1470","1470","1470","152.2","1317.8","90","0","1470","350","1120","No","","","","0","","","","0","Jul 26, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 11:18:11 GMT-0700","2026","July 2026","","","","","0","0","0","0","170","134.4","170","134.4","Chris Marrs","","","0","441","NaN","","","-","-","5115 North 40th Street, Phoenix, Arizona 85018","Phoenix","Arizona","85018","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17009572","(602) 882-8579","tgeorge@harborgroupmanagement.com","","","Logen Uknavage","Referral","","","","","Tue Jun 02 2026 16:45:17 GMT-0700","MFH,Commercial","Capri on Camelback","Capri on Camelback","Travis","George","","","","","MFH - Plumbing","","Juan","","","","","Completed","Need to install flush valves and flush the coil","Jordan Wise","MFH - Plumbing","Arrived 4:20pm - Finished 5:30pm
Once inside unit inspected coil found location where I wanted to install flush valves shut down water and installed valves as needed. Turned on water tested for leaks. All is good flushed from new valves. Tons of air came out and also dirty water continued to flush multiple buckets until air was depleted from system, and water was clear afterwards took temperatures and is cooling much better now got a 16° split.
2- 1/2” hose bibs","","Default Workflow"
